"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","SUICIDE","TOT","100000PER","A","2018",13,
"AUS","SUICIDE","TOT","100000PER","A","2019",13.3,
"AUS","SUICIDE","TOT","100000PER","A","2020",12.4,
"AUT","SUICIDE","TOT","100000PER","A","2018",12.5,
"AUT","SUICIDE","TOT","100000PER","A","2019",11.4,
"AUT","SUICIDE","TOT","100000PER","A","2020",10.8,
"BEL","SUICIDE","TOT","100000PER","A","2018",15.2,
"CAN","SUICIDE","TOT","100000PER","A","2018",10.1,
"CAN","SUICIDE","TOT","100000PER","A","2019",10.5,
"CZE","SUICIDE","TOT","100000PER","A","2018",12.3,
"CZE","SUICIDE","TOT","100000PER","A","2019",10.7,
"CZE","SUICIDE","TOT","100000PER","A","2020",10.9,
"DNK","SUICIDE","TOT","100000PER","A","2018",9.7,
"FIN","SUICIDE","TOT","100000PER","A","2018",14.4,
"FIN","SUICIDE","TOT","100000PER","A","2019",13.4,
"DEU","SUICIDE","TOT","100000PER","A","2018",10,
"DEU","SUICIDE","TOT","100000PER","A","2019",9.6,
"DEU","SUICIDE","TOT","100000PER","A","2020",9.7,
"GRC","SUICIDE","TOT","100000PER","A","2018",4.9,
"GRC","SUICIDE","TOT","100000PER","A","2019",4.6,
"HUN","SUICIDE","TOT","100000PER","A","2018",15.9,
"HUN","SUICIDE","TOT","100000PER","A","2019",14.8,
"ISL","SUICIDE","TOT","100000PER","A","2018",9.8,
"ISL","SUICIDE","TOT","100000PER","A","2019",11.2,
"ISL","SUICIDE","TOT","100000PER","A","2020",12.7,
"IRL","SUICIDE","TOT","100000PER","A","2018",9.4,
"JPN","SUICIDE","TOT","100000PER","A","2018",15,
"JPN","SUICIDE","TOT","100000PER","A","2019",14.6,
"KOR","SUICIDE","TOT","100000PER","A","2018",25.5,
"KOR","SUICIDE","TOT","100000PER","A","2019",25.4,
"KOR","SUICIDE","TOT","100000PER","A","2020",24.1,
"LUX","SUICIDE","TOT","100000PER","A","2018",8.2,
"LUX","SUICIDE","TOT","100000PER","A","2019",10.9,
"MEX","SUICIDE","TOT","100000PER","A","2018",5.5,
"MEX","SUICIDE","TOT","100000PER","A","2019",5.7,
"MEX","SUICIDE","TOT","100000PER","A","2020",6.3,
"NLD","SUICIDE","TOT","100000PER","A","2018",10.2,
